iter	RMSE
0	779752.9596
1	759562.0766
2	739779.1997
3	721243.0063
4	703600.0028
5	686174.6771
6	669165.4462
7	652989.677
8	636126.1947
9	620337.2177
10	604777.4244
11	590052.0171
12	575040.1666
13	560950.8905
14	547400.5669
15	535104.6864
16	521745.1418
17	508765.6803
18	497143.074
19	485560.5418
20	473992.8831
21	463218.6711
22	452290.9245
23	441900.1444
24	431698.3101
25	422723.0283
26	413205.5381
27	404029.9605
28	395030.1099
29	386407.4381
30	378257.7839
31	371044.6823
32	363120.1972
33	355748.0007
34	348793.6504
35	341464.9863
36	334307.6643
37	327834.9811
38	321481.1209
39	315400.4584
40	309589.1188
41	304392.8928
42	298880.8213
43	293767.2744
44	289028.4128
45	283814.8472
46	278822.963
47	274154.8615
48	269352.0121
49	265108.4063
50	260698.167
51	256584.1011
52	252809.7037
53	249038.9461
54	245361.7831
55	241836.155
56	238698.5105
57	235355.1984
58	232147.0487
59	229012.7573
60	225994.8878
61	223193.6741
62	220428.1849
63	217923.985
64	215346.0445
65	212926.1646
66	210554.9392
67	208829.7967
68	206629.679
69	204501.3099
70	202361.9664
71	200465.5983
72	198633.4108
73	196976.8313
74	195275.7443
75	193600.2396
76	192226.9921
77	190722.6815
78	189232.1935
79	187821.489
80	186458.208
81	185182.4698
82	183874.214
83	182714.4569
84	181559.8499
85	180333.3512
86	179290.9565
87	178308.3478
88	177488.1616
89	176589.6714
90	175653.0444
91	174704.2414
92	173779.8046
93	172956.8869
94	172109.5724
95	171327.3907
96	170640.2623
97	169872.4391
98	169151.9194
99	168503.9615
100	167893.7192
101	167228.8147
102	166596.3047
103	165862.1315
104	165293.9888
105	164693.8314
106	164127.2411
107	163560.5815
108	162986.2763
109	162431.2629
110	161946.8319
111	161610.0279
112	161142.051
113	160684.508
114	160242.6893
115	159838.9624
116	159404.8178
117	158992.7599
118	158517.5262
119	158104.6412
120	157841.5276
121	157464.1185
122	157273.5469
123	156951.6905
124	156510.5745
125	156103.6664
126	155884.5194
127	155659.7299
128	155463.9317
129	155262.2732
130	155080.6064
131	154741.6492
132	154474.8752
133	154176.7989
134	153988.9394
135	153814.0897
136	153589.3129
137	153366.5444
138	153065.1855
139	152823.8884
140	152598.6879
141	152357.6492
142	152039.1151
143	151876.7668
144	151675.9321
145	151502.4447
146	151338.736
147	151145.9964
148	150975.5642
149	150779.6686
150	150656.8267
151	150436.69
152	150197.562
153	150035.3903
154	149908.0386
155	149790.5047
156	149564.0953
157	149356.5418
158	149231.0513
159	149044.533
160	148892.1207
161	148713.2278
162	148519.5113
163	148377.5831
164	148223.0347
165	148093.4044
166	147844.7534
167	147715.8141
168	147589.9732
169	147371.2054
170	147239.0996
171	147123.7041
172	146993.8408
173	146837.8365
174	146594.3394
175	146517.6031
176	146414.9152
177	146314.1736
178	146163.3317
179	145988.749
180	145889.0989
181	145766.343
182	145688.7482
183	145550.0682
184	145380.1074
185	145218.0519
186	145097.8597
187	144909.2148
188	144771.5664
189	144668.9878
190	144559.7811
191	144481.1436
192	144388.5846
193	144258.7252
194	144179.817
195	144037.1636
196	143960.5199
197	143774.2162
198	143631.3618
199	143510.9436
200	143426.6225
201	143394.7445
202	143250.4584
203	143107.1132
204	142972.8953
205	142904.9126
206	142776.1878
207	142690.7281
208	142608.9619
209	142440.4975
210	142280.9414
211	142223.8375
212	142164.59
213	142025.7058
214	141983.7586
215	141867.993
216	141805.2564
217	141764.9721
218	141600.446
219	141529.7989
220	141448.2527
221	141308.6085
222	141164.1539
223	141070.0652
224	141006.4657
225	140937.6613
226	140829.0022
227	140726.7936
228	140668.2502
229	140572.8621
230	140517.5186
231	140349.3338
232	140321.4941
233	140280.6556
234	140167.7102
235	140062.454
236	139977.5288
237	139881.7896
238	139791.7378
239	139763.9243
240	139651.6173
241	139561.5832
242	139493.8143
243	139390.4737
244	139371.8204
245	139296.876
246	139231.7891
247	139082.5168
248	139013.9154
249	138906.76
250	138874.0308
251	138792.4803
252	138726.7269
253	138659.7691
254	138575.5726
255	138502.2452
256	138413.1657
257	138411.2292
258	138389.1996
259	138242.2536
260	138144.5483
261	138059.552
262	138042.2309
263	137953.1166
264	137865.7477
265	137794.2055
266	137776.2187
267	137698.0099
268	137635.106
269	137630.7286
270	137626.6658
271	137566.3503
272	137480.5875
273	137422.1263
274	137382.5003
275	137304.9913
276	137265.5476
277	137178.1974
278	137067.3492
279	137018.0897
280	137014.7944
281	136918.1905
282	136867.9593
283	136862.5238
284	136833.3386
285	136732.5401
286	136723.8502
287	136717.9299
288	136661.484
289	136657.1861
290	136589.1269
291	136516.4423
292	136456.7729
293	136375.1239
294	136309.1336
295	136297.7801
296	136291.5724
297	136249.8047
298	136229.1847
299	136157.2353
300	136085.1996
301	136082.3695
302	136018.849
303	136006.3873
304	135994.7748
305	135983.6574
306	135874.3383
307	135870.6598
308	135862.9963
309	135849.6595
310	135757.333
311	135732.6854
312	135727.4625
313	135725.1231
314	135675.0071
315	135651.792
316	135647.9281
317	135541.6599
318	135491.8925
319	135397.7798
320	135297.5766
321	135270.4559
322	135268.2152
323	135247.9993
324	135193.4868
325	135180.7863
326	135115.7421
327	135111.9122
328	135095.5232
329	135087.6304
330	135062.9321
331	135045.4838
332	135041.5289
333	134973.4252
334	134953.9662
335	134871.9672
336	134786.824
337	134769.9163
338	134767.5571
339	134698.938
340	134620.5772
341	134605.1518
342	134601.8714
343	134591.8244
344	134502.4274
345	134500.3318
346	134425.4746
347	134419.1149
348	134386.8636
349	134370.599
350	134308.9498
351	134289.5302
352	134283.4687
353	134273.8105
354	134271.0898
355	134263.9037
356	134241.4446
357	134234.3511
358	134166.7395
359	134164.6424
360	134162.543
361	134160.7085
362	134089.7082
363	134022.5872
364	134010.4012
365	134008.3659
366	134006.3392
367	133949.3059
368	133947.298
369	133941.554
370	133939.4857
371	133873.9719
372	133862.1657
373	133860.2274
374	133858.0757
375	133851.3019
376	133849.3185
377	133768.8631
378	133766.9758
379	133758.139
380	133756.2075
381	133749.9096
382	133692.936
383	133632.4127
384	133630.5937
385	133615.8832
386	133614.2352
387	133612.3166
388	133606.6452
389	133503.4986
390	133500.4563
391	133437.2094
392	133349.2172
393	133275.0111
394	133211.3652
395	133209.7646
396	133207.8913
397	133153.3305
398	133147.8189
399	133146.1024
400	133128.9015
401	133029.4655
402	133024.2893
403	133022.61
404	133013.5727
405	133011.0915
406	132926.7178
407	132925.0672
408	132858.6263
409	132808.7482
410	132807.255
411	132596.4932
412	132515.0823
413	132506.7301
414	132498.5518
415	132431.3396
416	132428.9865
417	132365.3368
418	132305.6103
419	132303.28
420	132231.4842
421	132229.9391
422	132035.774
423	132034.2393
424	132026.3419
425	132024.8298
426	131947.0872
427	131878.5248
428	131817.0058
429	131809.3156
430	131801.7815
431	131794.4331
432	131787.2479
433	131720.4814
434	131718.3319
435	131643.295
436	131530.5999
437	131436.6979
438	131429.6493
439	131422.755
440	131376.0559
441	131193.5166
442	131186.8375
443	131087.0763
444	131001.1546
445	130904.2274
446	130845.9818
447	130839.4958
448	130833.1516
449	130826.9448
450	130820.8716
451	130808.0065
452	130802.1111
453	130737.4702
454	130731.6967
455	130726.0592
456	130720.0202
457	130664.8143
458	130484.7117
459	130428.3794
460	130419.5137
461	130407.8641
462	130403.3619
463	130397.9867
464	130386.668
465	130296.3948
466	130243.5282
467	130241.6206
468	130233.2567
469	130067.2276
470	130062.8925
471	130000.5394
472	129996.3082
473	129992.1226
474	129934.5302
475	129933.2142
476	129931.9108
477	129930.6197
478	129929.3408
479	129859.2286
480	129778.5044
481	129700.3231
482	129653.8274
483	129575.2959
484	129559.8863
485	129462.9817
486	129415.6912
487	129400.4515
488	129339.4526
489	129300.0798
490	129225.7108
491	129182.2728
492	129167.1679
493	129109.5358
494	129108.3454
495	129093.4327
496	129092.2533
497	129091.0848
498	128928.0771
499	128907.5492
500	128906.3979
501	128863.2995
502	128848.6565
503	128847.5274
504	128788.1246
505	128701.4983
506	128642.5163
507	128601.2184
508	128586.7734
509	128572.4313
510	128535.8174
511	128534.7143
512	128533.5386
513	128442.6175
