iter	Passed	Remaining
0	2	1363
1	5	1286
2	7	1233
3	9	1187
4	11	1151
5	13	1124
6	15	1113
7	17	1102
8	19	1104
9	21	1091
10	23	1083
11	25	1076
12	28	1086
13	32	1144
14	34	1164
15	39	1220
16	43	1274
17	48	1344
18	51	1333
19	53	1317
20	55	1303
21	57	1291
22	59	1278
23	62	1267
24	64	1259
25	72	1353
26	74	1338
27	76	1323
28	78	1311
29	80	1299
30	82	1286
31	84	1274
32	86	1262
33	88	1250
34	90	1240
35	92	1229
36	95	1226
37	97	1219
38	99	1210
39	101	1202
40	103	1193
41	105	1187
42	107	1179
43	109	1173
44	111	1166
45	113	1158
46	115	1152
47	118	1146
48	120	1140
49	122	1133
50	124	1128
51	126	1126
52	128	1120
53	130	1114
54	132	1108
55	134	1103
56	137	1102
57	139	1097
58	141	1091
59	143	1086
60	145	1081
61	147	1078
62	150	1073
63	152	1069
64	155	1072
65	158	1075
66	160	1070
67	162	1065
68	164	1062
69	166	1057
70	168	1053
71	172	1056
72	174	1052
73	178	1058
74	182	1067
75	186	1076
76	190	1083
77	195	1091
78	198	1093
79	200	1088
80	202	1084
81	205	1080
82	207	1077
83	209	1073
84	211	1068
85	213	1064
86	215	1059
87	217	1054
88	219	1049
89	222	1046
90	224	1042
91	226	1038
92	228	1033
93	230	1028
94	232	1025
95	234	1021
96	236	1016
97	238	1012
98	240	1008
99	243	1009
100	245	1004
101	247	1000
102	249	997
103	251	993
104	253	988
105	255	984
106	258	981
107	261	981
108	263	979
109	266	979
110	270	980
111	273	981
112	277	985
113	281	988
114	284	986
115	287	986
116	289	982
117	291	978
118	293	974
119	295	970
120	297	966
121	299	962
122	301	958
123	303	955
124	305	951
125	308	948
126	310	945
127	312	941
128	315	941
129	317	938
130	322	942
131	326	944
132	328	941
133	330	937
134	333	937
135	335	933
136	337	929
137	339	926
138	341	922
139	344	919
140	346	915
141	348	912
142	351	911
143	353	908
144	357	909
145	360	908
146	362	904
147	364	901
148	366	897
149	368	893
150	370	891
151	372	887
152	374	884
153	377	881
154	378	877
155	381	875
156	383	871
157	386	870
158	388	867
159	393	869
160	397	871
161	399	867
162	401	864
163	403	860
164	406	859
165	408	857
166	411	855
167	413	852
168	416	849
169	418	846
170	420	842
171	422	839
172	424	836
173	426	833
174	428	830
175	430	827
176	432	823
177	434	820
178	436	817
179	438	814
180	440	811
181	442	807
182	444	804
183	447	802
184	449	799
185	451	796
186	453	793
187	455	790
188	459	789
189	461	786
190	465	786
191	469	786
192	470	783
193	472	780
194	474	776
195	476	773
196	478	770
197	481	767
198	483	764
199	485	761
200	487	758
201	489	755
202	491	752
203	493	749
204	508	766
205	510	763
206	512	760
207	514	757
208	518	756
209	520	753
210	524	752
211	528	752
212	532	752
213	534	749
214	536	746
215	538	742
216	540	739
217	543	738
218	545	735
219	547	732
220	549	728
221	551	725
222	553	722
223	555	719
224	557	716
225	560	713
226	561	710
227	564	707
228	565	704
229	567	701
230	569	698
231	572	695
232	574	692
233	576	689
234	578	686
235	580	684
236	584	682
237	587	681
238	592	681
239	596	680
240	600	680
241	605	680
242	607	677
243	609	674
244	612	672
245	614	669
246	617	667
247	619	664
248	621	661
249	623	658
250	625	655
251	627	652
252	629	649
253	632	647
254	634	644
255	636	641
256	638	638
257	639	634
258	641	631
259	643	628
260	645	625
261	647	622
262	649	619
263	651	617
264	653	614
265	656	611
266	658	608
267	660	605
268	662	603
269	663	600
270	665	596
271	667	594
272	670	592
273	672	589
274	674	586
275	676	583
276	678	580
277	680	577
278	682	574
279	684	572
280	686	569
281	689	567
282	691	564
283	693	561
284	695	558
285	697	555
286	699	553
287	701	550
288	703	547
289	705	544
290	707	541
291	709	539
292	711	536
293	712	533
294	714	530
295	716	527
296	718	525
297	720	522
298	722	519
299	724	517
300	728	515
301	730	513
302	734	511
303	738	510
304	740	507
305	742	504
306	744	502
307	746	499
308	748	496
309	750	493
310	752	491
311	754	488
312	756	485
313	758	483
314	760	480
315	762	477
316	764	475
317	766	472
318	768	469
319	770	467
320	772	464
321	774	461
322	776	459
323	778	456
324	780	453
325	782	451
326	784	448
327	786	446
328	788	443
329	790	440
330	792	438
331	794	435
332	796	432
333	798	430
334	800	427
335	807	427
336	809	425
337	812	422
338	814	420
339	817	418
340	819	415
341	821	413
342	824	410
343	826	408
344	828	405
345	830	403
346	833	400
347	835	398
348	837	395
349	839	393
350	841	391
351	843	388
352	845	385
353	848	383
354	849	380
355	852	378
356	854	375
357	855	372
358	858	370
359	860	367
360	862	365
361	864	362
362	866	360
363	868	357
364	870	355
365	872	352
366	873	350
367	875	347
368	877	344
369	880	342
370	882	340
371	884	337
372	886	335
373	888	332
374	890	330
375	892	327
376	894	324
377	896	322
378	899	320
379	901	317
380	903	315
381	904	312
382	907	310
383	909	307
384	911	305
385	913	302
386	915	300
387	917	297
388	919	295
389	921	292
390	923	290
391	925	288
392	928	285
393	930	283
394	932	280
395	934	278
396	936	275
397	938	273
398	940	271
399	942	268
400	944	266
401	946	263
402	948	261
403	950	258
404	954	256
405	956	254
406	958	252
407	960	249
408	962	247
409	964	244
410	966	242
411	969	239
412	971	237
413	972	235
414	976	232
415	977	230
416	979	227
417	981	225
418	983	223
419	985	220
420	987	218
421	989	215
422	991	213
423	993	210
424	996	208
425	998	206
426	1000	203
427	1002	201
428	1005	199
429	1007	196
430	1009	194
431	1011	192
432	1014	189
433	1015	187
434	1017	184
435	1019	182
436	1021	179
437	1023	177
438	1025	175
439	1027	172
440	1029	170
441	1032	168
442	1033	165
443	1035	163
444	1037	160
445	1039	158
446	1042	156
447	1043	153
448	1045	151
449	1047	148
450	1049	146
451	1051	144
452	1053	141
453	1055	139
454	1057	137
455	1059	134
456	1061	132
